new_user_id,Recency,Frequency,Monetary,last_purchase,R_Score,F_Score,M_Score,RFM_Score,RFM_Tag,Segment
UID_00001,119,1,3309.06,2024-09-03 01:19:59,4,1,4,9,414,高价值
UID_00002,298,1,452.88,2024-03-08 11:03:19,1,1,1,3,111,流失风险
UID_00003,275,1,2603.22,2024-03-31 18:31:11,2,1,4,7,214,需唤回
UID_00004,176,1,1988.96,2024-07-08 23:14:25,3,1,3,7,313,一般用户
UID_00005,149,1,2120.22,2024-08-04 06:03:39,3,1,3,7,313,一般用户
UID_00006,135,1,2539.32,2024-08-18 17:04:06,4,1,4,9,414,高价值
UID_00007,145,1,2464.74,2024-08-08 20:10:00,3,1,3,7,313,一般用户
UID_00008,291,1,1685.24,2024-03-15 07:48:26,2,1,3,6,213,需唤回
UID_00009,146,1,5968.54,2024-08-07 06:26:56,3,1,5,9,315,高价值
UID_00010,102,1,34050.4,2024-09-20 07:21:44,4,1,5,10,415,高价值
UID_00011,277,1,2608.35,2024-03-29 12:35:22,2,1,4,7,214,需唤回
UID_00012,80,1,460.54,2024-10-12 11:47:09,4,1,1,6,411,潜力用户
UID_00013,255,1,780.58,2024-04-20 00:52:22,2,1,2,5,212,流失风险
UID_00014,352,1,6095.6,2024-01-14 09:28:07,1,1,5,7,115,需唤回
UID_00015,280,1,349.24,2024-03-26 02:27:48,2,1,1,4,211,流失风险
UID_00016,95,1,7296.56,2024-09-27 21:47:12,4,1,5,10,415,高价值
UID_00017,8,1,733.92,2024-12-23 01:38:51,5,1,2,8,512,潜力用户
UID_00018,364,1,4139.0,2024-01-02 22:26:47,1,1,4,6,114,需唤回
UID_00019,156,1,816.95,2024-07-28 03:58:48,3,1,2,6,312,一般用户
UID_00020,72,1,3617.85,2024-10-20 10:10:48,4,1,4,9,414,高价值
UID_00021,206,1,19889.0,2024-06-08 04:14:12,3,1,5,9,315,高价值
UID_00022,123,1,87.63,2024-08-30 22:26:57,4,1,1,6,411,潜力用户
UID_00023,103,1,3322.85,2024-09-19 12:36:24,4,1,4,9,414,高价值
UID_00024,214,1,16580.48,2024-05-31 02:53:04,3,1,5,9,315,高价值
UID_00025,63,1,1097.48,2024-10-29 05:05:10,5,1,2,8,512,潜力用户
UID_00026,141,1,141.16,2024-08-12 18:40:46,4,1,1,6,411,潜力用户
UID_00027,306,1,7217.07,2024-02-29 17:30:48,1,1,5,7,115,需唤回
UID_00028,11,1,3235.59,2024-12-20 19:53:33,5,1,4,10,514,高价值
UID_00029,41,1,2912.88,2024-11-20 17:26:27,5,1,4,10,514,高价值
UID_00030,284,1,36279.4,2024-03-22 02:25:51,2,1,5,8,215,需唤回
UID_00031,143,1,9481.14,2024-08-10 12:30:57,3,1,5,9,315,高价值
UID_00032,201,1,979.4,2024-06-13 11:59:08,3,1,2,6,312,一般用户
UID_00033,338,1,1985.43,2024-01-28 15:18:10,1,1,3,5,113,需唤回
UID_00034,263,1,936.21,2024-04-12 12:46:58,2,1,2,5,212,流失风险
UID_00035,6,1,136.23,2024-12-25 06:15:44,5,1,1,7,511,潜力用户
UID_00036,25,1,15192.08,2024-12-06 04:41:33,5,1,5,11,515,高价值
UID_00037,361,1,5409.51,2024-01-05 05:01:14,1,1,5,7,115,需唤回
UID_00038,203,1,5023.64,2024-06-11 07:37:44,3,1,4,8,314,高价值
UID_00039,260,1,263.34,2024-04-15 09:37:21,2,1,1,4,211,流失风险
UID_00040,127,1,1370.96,2024-08-26 08:03:08,4,1,3,8,413,潜力用户
UID_00041,94,1,491.1,2024-09-28 19:40:11,4,1,1,6,411,潜力用户
UID_00042,174,1,538.68,2024-07-10 18:25:34,3,1,1,5,311,一般用户
UID_00043,348,1,2597.84,2024-01-18 21:53:05,1,1,4,6,114,需唤回
UID_00044,218,1,20619.33,2024-05-26 23:36:31,2,1,5,8,215,需唤回
UID_00045,49,1,9660.51,2024-11-12 02:27:49,5,1,5,11,515,高价值
UID_00046,247,1,519.28,2024-04-28 06:08:20,2,1,1,4,211,流失风险
UID_00047,20,1,2170.38,2024-12-11 02:48:00,5,1,3,9,513,潜力用户
UID_00048,107,1,1412.16,2024-09-15 08:52:40,4,1,3,8,413,潜力用户
UID_00049,190,1,17583.04,2024-06-24 12:56:10,3,1,5,9,315,高价值
UID_00050,332,1,3602.08,2024-02-03 02:01:19,1,1,4,6,114,需唤回
UID_00051,199,1,501.19,2024-06-15 03:45:03,3,1,1,5,311,一般用户
UID_00052,187,1,1606.95,2024-06-27 16:52:17,3,1,3,7,313,一般用户
UID_00053,281,1,960.87,2024-03-25 05:47:35,2,1,2,5,212,流失风险
UID_00054,152,1,15668.0,2024-08-01 11:08:41,3,1,5,9,315,高价值
UID_00055,121,1,2489.28,2024-09-01 17:38:57,4,1,3,8,413,潜力用户
UID_00056,253,1,47924.35,2024-04-22 05:45:12,2,1,5,8,215,需唤回
UID_00057,95,1,214.9,2024-09-27 12:55:51,4,1,1,6,411,潜力用户
UID_00058,92,1,808.68,2024-09-30 07:38:19,4,1,2,7,412,潜力用户
UID_00059,309,1,362.32,2024-02-26 19:47:43,1,1,1,3,111,流失风险
UID_00060,360,1,153.14,2024-01-06 21:51:19,1,1,1,3,111,流失风险
UID_00061,41,1,1973.2,2024-11-20 10:23:02,5,1,3,9,513,潜力用户
UID_00062,233,1,361.98,2024-05-12 16:38:51,2,1,1,4,211,流失风险
UID_00063,89,1,507.51,2024-10-02 23:30:53,4,1,1,6,411,潜力用户
UID_00064,262,1,4072.45,2024-04-13 08:10:01,2,1,4,7,214,需唤回
UID_00065,106,1,4676.15,2024-09-16 18:27:40,4,1,4,9,414,高价值
UID_00066,94,1,168.22,2024-09-28 06:58:27,4,1,1,6,411,潜力用户
UID_00067,71,1,2204.16,2024-10-21 01:01:18,5,1,3,9,513,潜力用户
UID_00068,112,1,9125.06,2024-09-10 22:25:11,4,1,5,10,415,高价值
UID_00069,42,1,13525.72,2024-11-19 02:23:52,5,1,5,11,515,高价值
